"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"11/06/2016","33","","Flemington","34-019-0001","AQS"
"11/07/2016","25","","Flemington","34-019-0001","AQS"
"11/08/2016","33","","Chester","34-027-3001","AQS"
"11/09/2016","28","","Chester","34-027-3001","AQS"
"11/10/2016","31","","MT NINHAM","36-079-0005","AQS"
"11/11/2016","32","","Chester","34-027-3001","AQS"
"11/12/2016","36","","MT NINHAM","36-079-0005","AQS"
"11/13/2016","39","","MT NINHAM","36-079-0005","AQS"
"11/14/2016","44","","Rockland County","36-087-0005","AQS"
"11/15/2016","33","","Chester","34-027-3001","AQS"
"11/16/2016","39","","MT NINHAM","36-079-0005","AQS"
"11/17/2016","31","","MT NINHAM","36-079-0005","AQS"
"11/18/2016","30","","Chester","34-027-3001","AQS"
"11/19/2016","34","","MILLBROOK","36-027-0007","AQS"
"11/20/2016","39","","SUSAN WAGNER HS","36-085-0067","AQS"
"11/21/2016","38","","SUSAN WAGNER HS","36-085-0067","AQS"
"11/22/2016","35","","Flemington","34-019-0001","AQS"
"11/23/2016","33","","MILLBROOK","36-027-0007","AQS"
"11/24/2016","23","","MT NINHAM","36-079-0005","AQS"
"11/25/2016","15","","MT NINHAM","36-079-0005","AQS"
"11/26/2016","23","","HOLTSVILLE","36-103-0009","AQS"
"11/27/2016","35","","SUSAN WAGNER HS","36-085-0067","AQS"
"11/28/2016","31","","SUSAN WAGNER HS","36-085-0067","AQS"
"11/29/2016","37","","HOLTSVILLE","36-103-0009","AQS"
"11/30/2016","27","","MT NINHAM","36-079-0005","AQS"
"12/01/2016","29","","MT NINHAM","36-079-0005","AQS"
"12/02/2016","24","","Rockland County","36-087-0005","AQS"
"12/03/2016","42","","SUSAN WAGNER HS","36-085-0067","AQS"
"12/04/2016","40","","SUSAN WAGNER HS","36-085-0067","AQS"
"12/05/2016","27","","SUSAN WAGNER HS","36-085-0067","AQS"
"12/06/2016","29","","HOLTSVILLE","36-103-0009","AQS"
"12/07/2016","28","","HOLTSVILLE","36-103-0009","AQS"
"12/08/2016","26","","SUSAN WAGNER HS","36-085-0067","AQS"
"12/09/2016","34","","MT NINHAM","36-079-0005","AQS"
"12/10/2016","33","","MT NINHAM","36-079-0005","AQS"
"12/11/2016","26","","MT NINHAM","36-079-0005","AQS"
"12/12/2016","27","","MT NINHAM","36-079-0005","AQS"
"12/13/2016","27","","MT NINHAM","36-079-0005","AQS"
"12/14/2016","32","","MT NINHAM","36-079-0005","AQS"
"12/15/2016","34","","MT NINHAM","36-079-0005","AQS"
"12/16/2016","31","","MILLBROOK","36-027-0007","AQS"
"12/17/2016","23","","Chester","34-027-3001","AQS"
"12/18/2016","33","","MILLBROOK","36-027-0007","AQS"
"12/19/2016","36","","MT NINHAM","36-079-0005","AQS"
"12/20/2016","31","","MILLBROOK","36-027-0007","AQS"
"12/21/2016","28","","MT NINHAM","36-079-0005","AQS"
"12/22/2016","31","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"12/23/2016","35","","MILLBROOK","36-027-0007","AQS"
"12/24/2016","32","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"12/25/2016","32","","Flemington","34-019-0001","AQS"
"12/26/2016","34","","HOLTSVILLE","36-103-0009","AQS"
"12/27/2016","31","","Chester","34-027-3001","AQS"
"12/28/2016","27","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"12/29/2016","30","","MT NINHAM","36-079-0005","AQS"
"12/30/2016","30","","MT NINHAM","36-079-0005","AQS"
"12/31/2016","34","","BABYLON","36-103-0002","AQS"
"01/01/2017","34","","Chester","34-027-3001","AQS"
"01/02/2017","33","","HOLTSVILLE","36-103-0009","AQS"
"01/03/2017","32","","HOLTSVILLE","36-103-0009","AQS"
"01/04/2017","32","","Chester","34-027-3001","AQS"
"01/05/2017","32","","MILLBROOK","36-027-0007","AQS"
"01/06/2017","31","","Chester","34-027-3001","AQS"
"01/07/2017","32","","Chester","34-027-3001","AQS"
"01/08/2017","33","","Chester","34-027-3001","AQS"
"01/09/2017","30","","Chester","34-027-3001","AQS"
"01/10/2017","36","","HOLTSVILLE","36-103-0009","AQS"
"01/11/2017","34","","HOLTSVILLE","36-103-0009","AQS"
"01/12/2017","31","","Rutgers University","34-023-0011","AQS"
"01/13/2017","40","","Chester","34-027-3001","AQS"
"01/14/2017","31","","Chester","34-027-3001","AQS"
"01/15/2017","36","","Chester","34-027-3001","AQS"
"01/16/2017","31","","Chester","34-027-3001","AQS"
"01/17/2017","24","","MILLBROOK","36-027-0007","AQS"
"01/18/2017","31","","HOLTSVILLE","36-103-0009","AQS"
"01/19/2017","24","","MILLBROOK","36-027-0007","AQS"
"01/20/2017","23","","MILLBROOK","36-027-0007","AQS"
"01/21/2017","13","","MILLBROOK","36-027-0007","AQS"
"01/22/2017","26","","HOLTSVILLE","36-103-0009","AQS"
"01/23/2017","36","","HOLTSVILLE","36-103-0009","AQS"
"01/24/2017","36","","HOLTSVILLE","36-103-0009","AQS"
"01/25/2017","32","","MT NINHAM","36-079-0005","AQS"
"01/26/2017","35","","MT NINHAM","36-079-0005","AQS"
"01/27/2017","30","","MILLBROOK","36-027-0007","AQS"
"01/28/2017","28","","MILLBROOK","36-027-0007","AQS"
"01/29/2017","32","","Chester","34-027-3001","AQS"
"01/30/2017","38","","MT NINHAM","36-079-0005","AQS"
"01/31/2017","31","","MT NINHAM","36-079-0005","AQS"
"02/01/2017","37","","MT NINHAM","36-079-0005","AQS"
"02/02/2017","36","","MT NINHAM","36-079-0005","AQS"
"02/03/2017","38","","MT NINHAM","36-079-0005","AQS"
"02/04/2017","40","","MT NINHAM","36-079-0005","AQS"
"02/05/2017","33","","MILLBROOK","36-027-0007","AQS"
"02/06/2017","39","","MILLBROOK","36-027-0007","AQS"
"02/07/2017","30","","MILLBROOK","36-027-0007","AQS"
"02/08/2017","32","","Colliers Mills","34-029-0006","AQS"
"02/09/2017","38","","Flemington","34-019-0001","AQS"
"02/10/2017","38","","MT NINHAM","36-079-0005","AQS"
"02/11/2017","34","","Chester","34-027-3001","AQS"
"02/12/2017","31","","MILLBROOK","36-027-0007","AQS"
"02/13/2017","35","","Flemington","34-019-0001","AQS"
"02/14/2017","39","","MILLBROOK","36-027-0007","AQS"
"02/15/2017","39","","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS"
"02/16/2017","34","","MT NINHAM","36-079-0005","AQS"
"02/17/2017","42","","MILLBROOK","36-027-0007","AQS"
"02/18/2017","51","","Chester","34-027-3001","AQS"
"02/19/2017","47","","Colliers Mills","34-029-0006","AQS"
"02/20/2017","44","","Flemington","34-019-0001","AQS"
"02/21/2017","44","","Colliers Mills","34-029-0006","AQS"
"02/22/2017","37","","RIVERHEAD","36-103-0004","AQS"
"02/23/2017","41","","Colliers Mills","34-029-0006","AQS"
"02/24/2017","44","","Chester","34-027-3001","AQS"
"02/25/2017","40","","Flemington","34-019-0001","AQS"
"02/26/2017","36","","Leonia","34-003-0006","AQS"
