"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/26/2013","38","","Miami Fire Station","12-086-1016","AQS"
"09/27/2013","37","","Miami Fire Station","12-086-1016","AQS"
"09/28/2013","29","","Miami Fire Station","12-086-1016","AQS"
"09/29/2013","27","","Miami Fire Station","12-086-1016","AQS"
"09/30/2013","32","","Miami Fire Station","12-086-1016","AQS"
"10/01/2013","34","","Miami Fire Station","12-086-1016","AQS"
"10/02/2013","33","","Miami Fire Station","12-086-1016","AQS"
"10/03/2013","40","","Miami Fire Station","12-086-1016","AQS"
"10/04/2013","37","","Miami Fire Station","12-086-1016","AQS"
"10/05/2013","30","","Miami Fire Station","12-086-1016","AQS"
"10/06/2013","25","","Royal Palm Beach","12-099-0009","AQS"
"10/07/2013","33","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"10/08/2013","34","","Miami Fire Station","12-086-1016","AQS"
"10/09/2013","38","","Miami Fire Station","12-086-1016","AQS"
"10/10/2013","33","","Miami Fire Station","12-086-1016","AQS"
"10/11/2013","32","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"10/12/2013","43","","Royal Palm Beach","12-099-0009","AQS"
"10/13/2013","50","","Royal Palm Beach","12-099-0009","AQS"
"10/14/2013","40","","Miami Fire Station","12-086-1016","AQS"
"10/15/2013","35","","Miami Fire Station","12-086-1016","AQS"
"10/16/2013","32","","Miami Fire Station","12-086-1016","AQS"
"10/17/2013","38","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"10/18/2013","30","","Miami Fire Station","12-086-1016","AQS"
"10/19/2013","30","","Belle Glade","12-099-0008","AQS"
"10/20/2013","29","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"10/21/2013","26","","Miami Fire Station","12-086-1016","AQS"
"10/22/2013","30","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"10/23/2013","34","","Miami Fire Station","12-086-1016","AQS"
"10/24/2013","42","","Miami Fire Station","12-086-1016","AQS"
"10/25/2013","35","","Miami Fire Station","12-086-1016","AQS"
"10/26/2013","50","","Belle Glade","12-099-0008","AQS"
"10/27/2013","43","","Royal Palm Beach","12-099-0009","AQS"
"10/28/2013","44","","Miami Fire Station","12-086-1016","AQS"
"10/29/2013","40","","Miami Fire Station","12-086-1016","AQS"
"10/30/2013","40","","Belle Glade","12-099-0008","AQS"
"10/31/2013","36","","Miami Fire Station","12-086-1016","AQS"
"11/01/2013","28","","Miami Fire Station","12-086-1016","AQS"
"11/02/2013","28","","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"11/03/2013","43","","Belle Glade","12-099-0008","AQS"
"11/04/2013","44","","Miami Fire Station","12-086-1016","AQS"
