Date,PM2.5 AQI Value,Site Name,Site ID,Source
02/06/2020,62,Long Beach-route 710 Near Road,06-037-4008,AQS
02/07/2020,76,Long Beach-route 710 Near Road,06-037-4008,AQS
02/08/2020,83,Compton,06-037-1302,AQS
02/09/2020,55,Los Angeles-north Main Street,06-037-1103,AQS
02/10/2020,42,Long Beach-route 710 Near Road,06-037-4008,AQS
02/11/2020,45,Long Beach-route 710 Near Road,06-037-4008,AQS
02/12/2020,52,Long Beach-route 710 Near Road,06-037-4008,AQS
02/13/2020,62,Long Beach-route 710 Near Road,06-037-4008,AQS
02/14/2020,66,North Hollywood (noho),06-037-4010,AQS
02/15/2020,74,Compton,06-037-1302,AQS
02/16/2020,74,Compton,06-037-1302,AQS
02/17/2020,72,Compton,06-037-1302,AQS
02/18/2020,75,Los Angeles-north Main Street,06-037-1103,AQS
02/19/2020,83,Los Angeles-north Main Street,06-037-1103,AQS
02/20/2020,78,Long Beach-route 710 Near Road,06-037-4008,AQS
02/21/2020,70,Long Beach (south),06-037-4004,AQS
02/22/2020,34,Glendora,06-037-0016,AQS
02/23/2020,54,North Hollywood (noho),06-037-4010,AQS
02/24/2020,62,North Hollywood (noho),06-037-4010,AQS
02/25/2020,61,Long Beach-route 710 Near Road,06-037-4008,AQS
02/26/2020,51,Long Beach-route 710 Near Road,06-037-4008,AQS
02/27/2020,57,Long Beach-route 710 Near Road,06-037-4008,AQS
02/28/2020,46,Long Beach (south),06-037-4004,AQS
02/29/2020,50,North Hollywood (noho),06-037-4010,AQS
03/01/2020,46,Glendora,06-037-0016,AQS
03/02/2020,35,Long Beach (south),06-037-4004,AQS
03/03/2020,39,Long Beach-route 710 Near Road,06-037-4008,AQS
03/04/2020,59,Los Angeles-north Main Street,06-037-1103,AQS
03/05/2020,72,Long Beach (south),06-037-4004,AQS
03/06/2020,67,Los Angeles-north Main Street,06-037-1103,AQS
03/07/2020,36,Glendora,06-037-0016,AQS
03/08/2020,27,Glendora,06-037-0016,AQS
03/09/2020,35,Long Beach-route 710 Near Road,06-037-4008,AQS
03/10/2020,23,Glendora,06-037-0016,AQS
03/11/2020,26,North Hollywood (noho),06-037-4010,AQS
03/12/2020,43,Long Beach-route 710 Near Road,06-037-4008,AQS
03/13/2020,35,Long Beach-route 710 Near Road,06-037-4008,AQS
03/14/2020,34,North Hollywood (noho),06-037-4010,AQS
03/15/2020,31,North Hollywood (noho),06-037-4010,AQS
03/16/2020,36,Glendora,06-037-0016,AQS
03/17/2020,38,North Hollywood (noho),06-037-4010,AQS
03/18/2020,46,Long Beach-route 710 Near Road,06-037-4008,AQS
03/19/2020,30,North Hollywood (noho),06-037-4010,AQS
03/20/2020,25,Reseda,06-037-1201,AQS
03/21/2020,32,Glendora,06-037-0016,AQS
03/22/2020,32,Long Beach-route 710 Near Road,06-037-4008,AQS
03/23/2020,22,North Hollywood (noho),06-037-4010,AQS
03/24/2020,27,North Hollywood (noho),06-037-4010,AQS
03/25/2020,23,Glendora,06-037-0016,AQS
03/26/2020,25,Glendora,06-037-0016,AQS
03/27/2020,36,Long Beach-route 710 Near Road,06-037-4008,AQS
03/28/2020,42,Reseda,06-037-1201,AQS
03/29/2020,47,North Hollywood (noho),06-037-4010,AQS
03/30/2020,40,Glendora,06-037-0016,AQS
03/31/2020,52,Long Beach-route 710 Near Road,06-037-4008,AQS
04/01/2020,56,North Hollywood (noho),06-037-4010,AQS
04/02/2020,50,Glendora,06-037-0016,AQS
04/03/2020,53,Glendora,06-037-0016,AQS
04/04/2020,52,North Hollywood (noho),06-037-4010,AQS
04/05/2020,32,Glendora,06-037-0016,AQS
04/06/2020,22,Glendora,06-037-0016,AQS
04/07/2020,25,Glendora,06-037-0016,AQS
04/08/2020,26,Glendora,06-037-0016,AQS
04/09/2020,24,North Hollywood (noho),06-037-4010,AQS
04/10/2020,26,North Hollywood (noho),06-037-4010,AQS
04/11/2020,40,North Hollywood (noho),06-037-4010,AQS
04/12/2020,41,North Hollywood (noho),06-037-4010,AQS
04/13/2020,31,Glendora,06-037-0016,AQS
04/14/2020,47,Long Beach-route 710 Near Road,06-037-4008,AQS
04/15/2020,52,Long Beach (south),06-037-4004,AQS
04/16/2020,53,North Hollywood (noho),06-037-4010,AQS
04/17/2020,38,Glendora,06-037-0016,AQS
04/18/2020,38,Glendora,06-037-0016,AQS
04/19/2020,40,Glendora,06-037-0016,AQS
04/20/2020,43,North Hollywood (noho),06-037-4010,AQS
04/21/2020,48,Glendora,06-037-0016,AQS
04/22/2020,53,Long Beach-route 710 Near Road,06-037-4008,AQS
04/23/2020,57,Los Angeles-north Main Street,06-037-1103,AQS
04/24/2020,57,Long Beach-route 710 Near Road,06-037-4008,AQS
04/25/2020,57,North Hollywood (noho),06-037-4010,AQS
04/26/2020,61,North Hollywood (noho),06-037-4010,AQS
04/27/2020,62,North Hollywood (noho),06-037-4010,AQS
04/28/2020,65,North Hollywood (noho),06-037-4010,AQS
04/29/2020,68,North Hollywood (noho),06-037-4010,AQS
04/30/2020,70,Glendora,06-037-0016,AQS
05/01/2020,63,Glendora,06-037-0016,AQS
05/02/2020,57,Glendora,06-037-0016,AQS
05/03/2020,53,Glendora,06-037-0016,AQS
05/04/2020,58,North Hollywood (noho),06-037-4010,AQS
05/05/2020,57,Long Beach (south),06-037-4004,AQS
05/06/2020,59,Long Beach-route 710 Near Road,06-037-4008,AQS
05/07/2020,60,Los Angeles-north Main Street,06-037-1103,AQS
05/08/2020,72,Los Angeles-north Main Street,06-037-1103,AQS
05/09/2020,72,North Hollywood (noho),06-037-4010,AQS
05/10/2020,66,Glendora,06-037-0016,AQS
05/11/2020,56,Glendora,06-037-0016,AQS
05/12/2020,38,Glendora,06-037-0016,AQS
05/13/2020,34,Glendora,06-037-0016,AQS
05/14/2020,44,Long Beach (south),06-037-4004,AQS
05/15/2020,51,North Hollywood (noho),06-037-4010,AQS
05/16/2020,59,Glendora,06-037-0016,AQS
05/17/2020,54,North Hollywood (noho),06-037-4010,AQS
05/18/2020,33,Glendora,06-037-0016,AQS
