Date,Ozone AQI Value,Site Name,Site ID,Source
12/22/2014,31,Rutgers University,34-023-0011,AQS
12/23/2014,31,Babylon,36-103-0002,AQS
12/24/2014,24,Millbrook,36-027-0007,AQS
12/25/2014,31,Millbrook,36-027-0007,AQS
12/26/2014,30,Millbrook,36-027-0007,AQS
12/27/2014,29,Chester,34-027-3001,AQS
12/28/2014,23,Millbrook,36-027-0007,AQS
12/29/2014,31,Chester,34-027-3001,AQS
12/30/2014,31,Millbrook,36-027-0007,AQS
12/31/2014,35,Millbrook,36-027-0007,AQS
01/01/2015,32,Rutgers University,34-023-0011,AQS
01/02/2015,29,Millbrook,36-027-0007,AQS
01/03/2015,32,Millbrook,36-027-0007,AQS
01/04/2015,24,Millbrook,36-027-0007,AQS
01/05/2015,35,Millbrook,36-027-0007,AQS
01/06/2015,32,Mt Ninham,36-079-0005,AQS
01/07/2015,32,Millbrook,36-027-0007,AQS
01/08/2015,31,Millbrook,36-027-0007,AQS
01/09/2015,29,Chester,34-027-3001,AQS
01/10/2015,32,Millbrook,36-027-0007,AQS
01/11/2015,30,Rutgers University,34-023-0011,AQS
01/12/2015,27,Millbrook,36-027-0007,AQS
01/13/2015,33,Chester,34-027-3001,AQS
01/14/2015,28,Millbrook,36-027-0007,AQS
01/15/2015,31,Millbrook,36-027-0007,AQS
01/16/2015,37,Millbrook,36-027-0007,AQS
01/17/2015,36,Millbrook,36-027-0007,AQS
01/18/2015,32,Chester,34-027-3001,AQS
01/19/2015,30,Millbrook,36-027-0007,AQS
01/20/2015,34,Millbrook,36-027-0007,AQS
01/21/2015,36,Millbrook,36-027-0007,AQS
01/22/2015,30,Chester,34-027-3001,AQS
01/23/2015,34,Millbrook,36-027-0007,AQS
01/24/2015,26,Chester,34-027-3001,AQS
01/25/2015,37,Millbrook,36-027-0007,AQS
01/26/2015,35,Chester,34-027-3001,AQS
01/27/2015,37,Chester,34-027-3001,AQS
01/28/2015,38,Chester,34-027-3001,AQS
01/29/2015,35,Chester,34-027-3001,AQS
01/30/2015,38,Millbrook,36-027-0007,AQS
01/31/2015,40,Millbrook,36-027-0007,AQS
02/01/2015,37,Millbrook,36-027-0007,AQS
02/02/2015,34,Chester,34-027-3001,AQS
02/03/2015,37,Millbrook,36-027-0007,AQS
02/04/2015,32,Babylon,36-103-0002,AQS
02/05/2015,38,Millbrook,36-027-0007,AQS
