Date,Sulfur Dioxide AQI Value,Site Name,Site ID,Source
01/18/2021,4,Queens College 2,36-081-0124,AQS
01/19/2021,3,Pfizer Lab Site,36-005-0133,AQS
01/20/2021,3,Queens College 2,36-081-0124,AQS
01/21/2021,3,Is 52,36-005-0110,AQS
01/22/2021,7,Queens College 2,36-081-0124,AQS
01/23/2021,4,Queens College 2,36-081-0124,AQS
01/24/2021,3,Queens College 2,36-081-0124,AQS
01/25/2021,3,Is 52,36-005-0110,AQS
01/26/2021,1,Pfizer Lab Site,36-005-0133,AQS
01/27/2021,4,Queens College 2,36-081-0124,AQS
01/28/2021,3,Queens College 2,36-081-0124,AQS
01/29/2021,3,Queens College 2,36-081-0124,AQS
01/30/2021,6,Mt Ninham,36-079-0005,AQS
01/31/2021,40,Queens College 2,36-081-0124,AQS
