Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
03/07/2015,79,PM2.5,Fort Lee Library,34-003-0003,AQS
03/08/2015,68,PM2.5,Intermediate School 143,36-061-0115,AQS
03/09/2015,71,NO2,Is 52,36-005-0110,AQS
03/10/2015,107,NO2,Elizabeth Lab,34-039-0004,AQS
03/11/2015,68,NO2,Is 52,36-005-0110,AQS
03/12/2015,44,Ozone,Chester,34-027-3001,AQS
03/13/2015,51,NO2,Elizabeth Lab,34-039-0004,AQS
03/14/2015,51,PM2.5,Fort Lee Near Road,34-003-0010,AQS
03/15/2015,39,Ozone,Chester,34-027-3001,AQS
03/16/2015,76,NO2,Fort Lee Near Road,34-003-0010,AQS
03/17/2015,62,NO2,Is 52,36-005-0110,AQS
03/18/2015,44,Ozone,Riverhead,36-103-0004,AQS
03/19/2015,50,NO2,Elizabeth Lab,34-039-0004,AQS
03/20/2015,57,PM2.5,Elizabeth Lab,34-039-0004,AQS
03/21/2015,65,PM2.5,Elizabeth Lab,34-039-0004,AQS
03/22/2015,41,Ozone,Colliers Mills,34-029-0006,AQS
03/23/2015,42,Ozone,Riverhead,36-103-0004,AQS
03/24/2015,52,NO2,Is 52,36-005-0110,AQS
03/25/2015,80,NO2,Queens College 2,36-081-0124,AQS
03/26/2015,79,PM2.5,Fort Lee Near Road,34-003-0010,AQS
03/27/2015,35,Ozone,Mt Ninham,36-079-0005,AQS
03/28/2015,56,PM2.5,Jhs 126,36-047-0122,AQS
03/29/2015,44,Ozone,Chester,34-027-3001,AQS
03/30/2015,42,NO2,Elizabeth Lab,34-039-0004,AQS
03/31/2015,40,NO2,Elizabeth Lab,34-039-0004,AQS
04/01/2015,50,NO2,Elizabeth Lab,34-039-0004,AQS
04/02/2015,65,NO2,Queens College 2,36-081-0124,AQS
04/03/2015,61,PM2.5,Intermediate School 143,36-061-0115,AQS
04/04/2015,40,Ozone,Mt Ninham,36-079-0005,AQS
04/05/2015,47,Ozone,Monmouth University,34-025-0005,AQS
04/06/2015,63,PM2.5,Fort Lee Near Road,34-003-0010,AQS
04/07/2015,70,NO2,Is 52,36-005-0110,AQS
04/08/2015,42,Ozone,Monmouth University,34-025-0005,AQS
04/09/2015,55,PM2.5,Ps 19,36-061-0128,AQS
04/10/2015,61,PM2.5,Fort Lee Near Road,34-003-0010,AQS
04/11/2015,46,Ozone,Colliers Mills,34-029-0006,AQS
04/12/2015,50,Ozone,Rutgers University,34-023-0011,AQS
04/13/2015,63,NO2,Is 52,36-005-0110,AQS
04/14/2015,57,NO2,Fort Lee Near Road,34-003-0010,AQS
04/15/2015,53,NO2,Fort Lee Near Road,34-003-0010,AQS
04/16/2015,49,NO2,Elizabeth Lab,34-039-0004,AQS
04/17/2015,49,NO2,Queens College 2,36-081-0124,AQS
04/18/2015,84,Ozone,Susan Wagner Hs,36-085-0067,AQS
04/19/2015,44,Ozone,Mt Ninham,36-079-0005,AQS
04/20/2015,48,NO2,Elizabeth Lab,34-039-0004,AQS
04/21/2015,54,NO2,Fort Lee Near Road,34-003-0010,AQS
04/22/2015,60,NO2,Newark Firehouse,34-013-0003,AQS
04/23/2015,36,Ozone,Monmouth University,34-025-0005,AQS
04/24/2015,46,Ozone,Colliers Mills,34-029-0006,AQS
04/25/2015,47,NO2,Is 52,36-005-0110,AQS
