date, pm25, pm10, o3, no2, so2, co
2016/7/30, 72, 39, 43, 42, 7, 6
2016/7/31, 92, 47, 82, 57, 10, 7
2016/8/1, 106, 22, 30, 20, 3, 6
2016/8/2, 44, 22, 21, 28, 4, 6
2016/8/3, 53, 16, 7, 24, 4, 6
2016/8/4, 47, 22, 14, 31, 7, 7
2016/8/5, 52, 31, 36, 41, 17, 8
2016/8/6, 70, 26, 39, 35, 8, 7
2016/8/7, 61, 31, 35, 45, 7, 8
2016/8/8, 73, 34, 22, 49, 11, 9
2016/8/9, 77, 32, 22, 50, 10, 9
2016/8/10, 83, 25, 25, 48, 6, 9
2016/8/11, 66, 29, 27, 49, 12, 9
2016/8/12, 75, 20, 21, 30, 6, 6
2016/8/13, 51, 12, 18, 22, 5, 5
2016/8/14, 36, 15, 17, 33, 5, 6
2016/8/15, 41, 14, 13, 30, 4, 7
2016/8/16, 41, 12, 16, 24, 5, 6
2016/8/17, 35, 19, 21, 28, 5, 7
2016/8/18, 42, 29, 19, 28, 5, 7
2016/8/19, 54, 40, 12, 37, 11, 8
2016/8/20, 79, 24, 30, 47, 9, 7
2016/8/21, 60, 26, 34, 30, 7, 6
2016/8/22, 64, 24, 15, 35, 9, 7
2016/8/23, 61, 27, 28, 33, 4, 6
2016/8/24, 67, 33, 31, 37, 6, 7
2016/8/25, 81, 33, 38, 50, 12, 7
2016/8/26, 79, 32, 41, 53, 10, 8
2016/8/27, 72, 31, 42, 46, 4, 8
2016/8/28, 78, 46, 37, 40, 5, 7
2016/8/29, 104, 43, 63, 54, 9, 8
2016/8/30, 89, 41, 46, 61, 12, 9
2016/8/31, 96, 17, 24, 32, 4, 8
2016/9/1, 43, 21, 18, 31, 4, 7
2016/9/2, 47, 24, 37, 40, 7, 9
2016/9/3, 61, 35, 40, 25, 4, 7
2016/9/4, 88, 23, 33, 26, 4, 6
2016/9/5, 65, 15, 17, 35, 6, 8
2016/9/6, 38, 16, 19, 33, 7, 8
2016/9/7, 50, 14, 12, 35, 7, 9
2016/9/8, 46, 16, 17, 33, 7, 8
2016/9/9, 45, 19, 8, 30, 9, 8
2016/9/10, 51, 15, 11, 22, 8, 7
2016/9/11, 44, 20, 26, 33, 5, 8
2016/9/12, 57, 22, 29, 34, 5, 7
2016/9/13, 58, 48, 67, 62, 9, 9
2016/9/14, 98, 37, 50, 50, 8, 8
2016/9/15, 84, 19, 31, 39, 9, 6
2016/9/16, 49, 29, 45, 49, 10, 7
2016/9/17, 65, 29, 64, 43, 9, 6
2016/9/18, 70, 29, 33, 35, 6, 6
2016/9/19, 69, 38, 45, 42, 4, 7
2016/9/20, 94, 40, 51, 38, 5, 6
2016/9/21, 84, 37, 46, 34, 5, 6
2016/9/22, 75, 33, 36, 33, 5, 6
