date, pm25, pm10, o3, no2, so2, co
2015/7/4, 86, 41, 34, 34, , 3
2015/7/5, 58, 52, 41, 66, , 6
2015/7/6, 66, 41, 27, 53, , 5
2015/7/7, 63, 33, 22, 32, , 3
2015/7/8, 47, 43, 33, 41, 1, 4
2015/7/9, 57, 63, 45, 66, 1, 6
2015/7/10, 66, 53, 43, 50, 1, 4
2015/7/11, 67, 36, 25, 33, 1, 3
2015/7/12, 53, 31, 22, 34, , 4
2015/7/13, 51, 39, 21, 30, , 4
2015/7/14, 49, 47, 35, 52, 1, 5
2015/7/15, 64, 63, 43, 69, , 6
2015/7/16, 72, 37, 31, 37, , 4
2015/7/17, 60, 45, 45, 47, , 4
2015/7/18, 57, 27, 25, 34, , 4
2015/7/19, 58, 24, 17, 36, , 5
2015/7/20, 49, 34, 21, 37, 1, 5
2015/7/21, 57, 34, 32, 38, , 4
2015/7/22, 51, 38, 36, 42, 1, 4
2015/7/23, 49, 44, 33, 54, 1, 5
2015/7/24, 63, 33, 32, 30, , 3
2015/7/25, 44, 49, 27, 40, , 3
2015/7/26, 62, 27, 26, 27, , 3
2015/7/27, 40, 27, 27, 33, , 3
2015/7/28, 43, 32, 27, 35, , 4
2015/7/29, 44, 32, 28, 40, 1, 4
2015/7/30, 48, 45, 35, 50, 1, 4
2015/7/31, 62, 44, 44, 45, , 3
2015/8/1, 60, 56, 54, 55, 1, 3
2015/8/2, 63, 44, 54, 65, 1, 5
2015/8/3, 67, 42, 31, 38, , 4
2015/8/4, 53, 55, 39, 55, , 5
2015/8/5, 64, 47, 35, 46, , 4
2015/8/6, 64, 49, 40, 46, , 4
2015/8/7, 56, 62, 37, 50, 1, 3
2015/8/8, 57, 49, 40, 43, , 3
2015/8/9, 67, 45, 29, 41, , 4
2015/8/10, 50, 60, 27, 38, , 4
2015/8/11, 58, 69, 58, 53, , 4
2015/8/12, 78, 46, 43, 45, , 4
2015/8/13, 80, 26, 28, 36, , 3
2015/8/14, 54, 22, 29, 24, , 2
2015/8/15, 43, 30, 32, 35, , 3
2015/8/16, 55, 34, 33, 40, 1, 3
2015/8/17, 58, 38, 33, 48, , 4
2015/8/18, 67, 43, 38, 52, , 4
2015/8/19, 70, 31, 22, 39, , 4
2015/8/20, 71, 34, 36, 44, , 5
2015/8/21, 71, 40, 46, 53, , 3
2015/8/22, 63, 31, 34, 40, , 3
2015/8/23, 52, 21, 24, 27, , 2
2015/8/24, 48, 27, 22, 29, , 4
2015/8/25, 51, 29, 28, 38, , 4
2015/8/26, 56, 28, 19, 48, , 4
2015/8/27, 61, 33, 21, 49, , 6
2015/8/28, 71, 41, 31, 57, , 7
2015/8/29, 80, 43, 38, 63, , 8
2015/8/30, 82, 40, 29, 50, , 6
2015/8/31, 74, 27, 29, 39, , 5
2015/9/1, 47, 34, 29, 46, 1, 6
2015/9/2, 56, 32, 29, 40, 1, 6
2015/9/3, 44, 29, 26, 45, 1, 6
2015/9/4, 46, 28, 24, 38, , 4
2015/9/5, 53, 34, 26, 34, , 3
2015/9/6, 49, 44, 24, 49, , 5
2015/9/7, 61, 43, 21, 40, 1, 5
2015/9/8, 63, 45, 31, 45, , 5
2015/9/9, 64, 49, 34, 57, 1, 5
2015/9/10, 66, 56, 29, 72, 1, 7
2015/9/11, 69, 42, 20, 50, , 5
2015/9/12, 87, 42, 16, 37, , 4
2015/9/13, 83, 23, 25, 36, , 4
2015/9/14, 47, 23, 26, 39, , 4
2015/9/15, 52, 23, 21, 44, , 5
2015/9/16, 68, 32, 25, 44, , 5
2015/9/17, 58, 30, 21, 48, , 5
2015/9/18, 68, 27, 25, 40, , 5
2015/9/19, 53, 36, 30, 51, 1, 5
2015/9/20, 64, 36, 30, 55, 1, 6
2015/9/21, 71, 20, 24, 35, , 4
2015/9/22, 40, 31, 22, 45, , 6
2015/9/23, 52, 30, 17, 43, , 6
2015/9/24, 62, 36, 17, 43, , 6
2015/9/25, 66, 40, 25, 43, , 4
2015/9/26, 71, 41, 30, 42, , 4
2015/9/27, 64, 34, 24, 39, 1, 4
2015/9/28, 58, 36, 26, 41, 1, 5
2015/9/29, 49, 38, 23, 43, 1, 5
2015/9/30, 57, 43, 23, 48, 1, 5
2015/4/1, 48, 33, 26, 47, 1, 6
2015/4/2, 52, 44, 12, 52, , 7
2015/4/3, 78, 34, 21, 40, 1, 4
2015/4/4, 72, 38, 33, 44, 1, 4
2015/4/5, 71, 47, 34, 48, 1, 4
2015/4/6, 86, 49, 34, 57, 2, 6
2015/4/7, 90, 65, 36, 74, 2, 8
2015/4/8, 118, 71, 30, 81, 3, 9
2015/4/9, 116, 64, 35, 70, 2, 7
2015/4/10, 89, 37, 29, 48, , 5
2015/4/11, 59, 42, 31, 54, , 5
2015/4/12, 73, 52, 25, 62, 1, 7
2015/4/13, 70, 62, 29, 72, 1, 9
2015/4/14, 71, 59, 29, 76, 1, 9
2015/4/15, 69, 70, 27, 81, 1, 8
2015/4/16, 78, 71, 21, 53, 2, 6
2015/4/17, 95, 84, 37, 49, , 4
2015/4/18, 67, 61, 38, 50, 1, 4
2015/4/19, 71, 66, 40, 61, 1, 5
2015/4/20, 82, 70, 38, 58, 1, 5
2015/4/21, 93, 69, 31, 49, 1, 5
2015/4/22, 92, 66, 35, 62, 2, 6
2015/4/23, 92, 62, 25, 61, 1, 7
2015/4/24, 95, 34, 30, 43, , 4
2015/4/25, 66, 29, 23, 38, , 4
2015/4/26, 59, 43, 28, 35, 1, 4
2015/4/27, 61, 41, 29, 47, , 6
2015/4/28, 59, 47, 28, 50, 1, 5
2015/4/29, 62, 25, 18, 50, , 5
2015/4/30, 58, 22, 26, 44, 1, 4
2015/5/1, 58, 28, 24, 42, , 5
2015/5/2, 66, 22, 24, 30, , 3
2015/5/3, 43, 36, 25, 45, 1, 6
2015/5/4, 61, 56, 38, 39, , 4
2015/5/5, 53, 49, 95, 40, , 4
2015/5/6, 47, 40, 54, 49, , 6
2015/5/7, 56, 38, 25, 44, 1, 5
2015/5/8, 62, 34, 32, 34, , 3
2015/5/9, 48, 38, 56, 40, , 4
2015/5/10, 58, 51, 29, 61, 1, 8
2015/5/11, 69, 50, 33, 44, 1, 6
2015/5/12, 58, 49, 33, 58, 1, 5
2015/5/13, 60, 37, 31, 37, 1, 4
2015/5/14, 59, 47, 28, 41, , 4
2015/5/15, 66, 42, 30, 43, 1, 4
2015/5/16, 65, 46, 40, 50, , 4
2015/5/17, 69, 46, 32, 45, 1, 4
2015/5/18, 58, 49, 27, 42, , 4
2015/5/19, 47, 31, 22, 42, , 4
2015/5/20, 49, 42, 35, 54, 1, 6
2015/5/21, 64, 48, 36, 60, 1, 7
2015/5/22, 75, 48, 27, 39, 1, 4
2015/5/23, 64, 49, 34, 38, , 4
2015/5/24, 68, 35, 35, 29, , 3
2015/5/25, 52, 43, 33, 47, , 5
2015/5/26, 60, 50, 37, 60, 1, 7
2015/5/27, 75, 39, 25, 49, , 6
2015/5/28, 60, 44, 32, 46, , 5
2015/5/29, 57, 41, 32, 43, , 4
2015/5/30, 49, 35, 20, 29, , 3
2015/5/31, 59, 50, 31, 41, 1, 4
2015/6/1, 56, 43, 30, 39, , 5
2015/6/2, 54, 39, 31, 39, , 4
2015/6/3, 57, 53, 41, 65, 1, 4
2015/6/4, 70, 61, 47, 67, , 5
2015/6/5, 76, 45, 37, 34, , 3
2015/6/6, 49, 82, 41, 42, , 3
2015/6/7, 64, 73, 33, 36, , 4
2015/6/8, 55, 65, 35, 39, 1, 4
2015/6/9, 90, 61, 42, 51, 1, 5
2015/6/10, 64, 44, 45, 63, 1, 6
2015/6/11, 77, 43, 41, 57, , 5
2015/6/12, 70, 37, 42, 42, , 4
2015/6/13, 60, 47, 39, 37, , 3
2015/6/14, 56, 53, 36, 43, , 4
2015/6/15, 79, 56, 37, 45, 1, 4
2015/6/16, 56, 49, 40, 52, 1, 6
2015/6/17, 61, 35, 24, 33, , 6
2015/6/18, 50, 53, 34, 50, , 5
2015/6/19, 69, 46, 30, 38, , 4
2015/6/20, 64, 33, 24, 23, , 3
2015/6/21, 44, 35, 20, 36, , 4
2015/6/22, 54, 37, 29, 39, , 5
2015/6/23, 57, 47, 37, 60, 1, 6
2015/6/24, 73, 50, 48, 65, 1, 7
2015/6/25, 74, 56, 51, 75, 1, 7
2015/6/26, 74, 37, 34, 34, 1, 4
2015/6/27, 51, 37, 41, 43, , 3
2015/6/28, 57, 42, 37, 51, 1, 5
2015/6/29, 53, 58, 45, 75, , 6
2015/6/30, 65, 62, 71, 90, 1, 7
2015/1/1, 142, 49, 15, 56, 1, 7
2015/1/2, 105, 28, 16, 38, , 5
2015/1/3, 75, 38, 23, 48, , 5
2015/1/4, 93, 49, 4, 52, , 7
2015/1/5, 107, 45, 4, 43, , 9
2015/1/6, 100, 43, 5, 44, , 9
2015/1/7, 89, 31, 17, 41, , 5
2015/1/8, 71, 31, 19, 38, , 4
2015/1/9, 62, 26, 22, 35, , 3
2015/1/10, 53, 29, 24, 36, , 4
2015/1/11, 60, 28, 20, 35, , 5
