date,hour,type,东城东四,东城天坛,西城官园,西城万寿西宫,朝阳奥体中心,朝阳农展馆,海淀万柳,海淀四季青,丰台小屯,丰台云岗,石景山古城,石景山老山,昌平镇,昌平南邵,定陵(对照点),延庆夏都,延庆石河营,怀柔镇,怀柔新城,密云镇,密云新城,平谷镇,平谷新城,顺义新城,顺义北小营,通州永顺,通州东关,大兴黄村,大兴旧宫,亦庄开发区,京东南区域点,门头沟双峪,门头沟三家店,房山良乡,房山燕山
20210127,7,O3,35,16,23,26,25,18,1,2,13,43,30,3,37,1,31,2,4,26,37,12,51,5,13,43,39,2,2,3,1,2,2,42,40,35,46
20210127,7,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,7,CO,0.4,0.5,0.6,0.4,0.5,0.5,0.7,0.5,0.6,0.3,0.4,0.7,0.4,0.6,0.4,0.9,1,0.4,0.3,0.5,0.3,0.6,0.6,0.3,0.3,0.6,0.7,0.8,0.8,1.9,1.6,0.4,0.4,0.1,0.7
20210127,7,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,8,SO2,1,3,3,3,3,1,4,3,1,1,1,2,3,3,1,1,2,3,3,3,1,3,3,3,3,1,2,3,3,2,1,1,2,3,1
20210127,8,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,8,NO2,30,37,51,31,41,43,64,53,60,22,35,67,24,29,13,44,38,26,9,40,9,38,24,21,12,61,57,65,55,64,53,14,23,52,18
20210127,8,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,8,O3,33,16,9,32,25,12,1,2,1,33,16,1,30,2,38,2,4,29,38,7,48,17,11,39,39,1,2,3,4,1,2,38,37,21,39
20210127,8,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,8,CO,0.5,0.5,0.7,0.5,0.5,0.5,1,0.6,0.7,0.4,0.5,0.8,0.4,0.6,0.4,0.9,0.9,0.5,0.3,0.6,0.4,0.7,0.7,0.3,0.4,0.6,0.6,0.9,0.7,1.9,1.5,0.5,0.5,0.3,0.9
20210127,8,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,9,SO2,1,1,4,1,3,2,5,3,2,2,1,2,3,3,1,1,3,1,3,3,1,2,3,3,3,2,2,1,1,2,1,2,2,1,1
20210127,9,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,9,NO2,35,41,53,38,35,47,64,53,61,26,46,63,26,26,23,36,35,30,13,37,11,19,22,18,17,58,51,57,46,59,54,15,25,56,21
20210127,9,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210127,9,O3,28,18,9,26,31,10,2,2,3,28,10,4,28,2,31,9,10,27,35,13,45,42,14,38,33,4,2,10,13,4,1,35,36,18,38
