"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"11/15/2017","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/21/2017","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"11/27/2017","AQS","340130003","1","0.002","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"12/03/2017","AQS","340130003","1","0.005","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"12/09/2017","AQS","340130003","1","0.002","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"12/15/2017","AQS","340130003","1","0.003","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"12/21/2017","AQS","340130003","1","0","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"12/27/2017","AQS","340130003","1","0.001","ug/m3 LC",".","Newark Firehouse","1","100.0000","85129","Lead PM10 LC FRM/FEM","35620","New York-Newark-Jersey City, NY-NJ-PA","34","New Jersey","013","Essex","40.720989","-74.192892"
"01/01/2017","AQS","360713001","1","0.002","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"01/07/2017","AQS","360713001","1","0.003","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"01/13/2017","AQS","360713001","1","0.001","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"01/19/2017","AQS","360713001","1","0.001","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"01/25/2017","AQS","360713001","1","0.002","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"02/06/2017","AQS","360713001","1","0.005","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"02/12/2017","AQS","360713001","1","0.003","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"02/24/2017","AQS","360713001","1","0.014","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
"03/02/2017","AQS","360713001","1","0.004","ug/m3 LC",".","WALLKILL BALLARD ROAD","1","100.0000","14129","Lead (TSP) LC","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","071","Orange","41.46107","-74.36343"
