"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/30/2012","48","PM2.5","Miami Fire Station","12-086-1016","AQS"
"05/31/2012","41","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/01/2012","36","Ozone","Rosenstiel","12-086-0027","AQS"
"06/02/2012","32","Ozone","Rosenstiel","12-086-0027","AQS"
"06/03/2012","67","Ozone","Rosenstiel","12-086-0027","AQS"
"06/04/2012","39","Ozone","Pompano Highlands","12-011-2003","AQS"
"06/05/2012","70","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/06/2012","75","PM2.5","Belle Glade","12-099-0008","AQS"
"06/07/2012","75","PM2.5","Vista View Park","12-011-0033","AQS"
"06/08/2012","55","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/09/2012","40","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/10/2012","43","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/11/2012","40","Ozone","Rosenstiel","12-086-0027","AQS"
"06/12/2012","44","Ozone","Vista View Park","12-011-0033","AQS"
"06/13/2012","74","Ozone","Vista View Park","12-011-0033","AQS"
"06/14/2012","74","Ozone","Pompano Highlands","12-011-2003","AQS"
"06/15/2012","84","Ozone","Perdue","12-086-0029","AQS"
"06/16/2012","37","Ozone","Rosenstiel","12-086-0027","AQS"
"06/17/2012","43","Ozone","Rosenstiel","12-086-0027","AQS"
"06/18/2012","38","Ozone","Rosenstiel","12-086-0027","AQS"
"06/19/2012","37","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/20/2012","53","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/21/2012","52","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/22/2012","33","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/23/2012","39","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/24/2012","70","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/25/2012","79","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/26/2012","54","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/27/2012","53","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/28/2012","50","PM2.5","Miami Fire Station","12-086-1016","AQS"
"06/29/2012","97","Ozone","Royal Palm Beach","12-099-0009","AQS"
"06/30/2012","77","Ozone","Rosenstiel","12-086-0027","AQS"
"07/01/2012","54","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"07/02/2012","77","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/03/2012","65","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/04/2012","72","PM2.5","Coconut Creek","12-011-5005","AQS"
"07/05/2012","92","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/06/2012","68","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/07/2012","48","PM2.5","Belle Glade","12-099-0008","AQS"
"07/08/2012","37","Ozone","Rosenstiel","12-086-0027","AQS"
"07/09/2012","54","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/10/2012","36","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/11/2012","36","Ozone","Rosenstiel","12-086-0027","AQS"
"07/12/2012","34","Ozone","Royal Palm Beach","12-099-0009","AQS"
"07/13/2012","44","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/14/2012","31","Ozone","Rosenstiel","12-086-0027","AQS"
"07/15/2012","35","Ozone","Rosenstiel","12-086-0027","AQS"
"07/16/2012","33","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/17/2012","45","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/18/2012","60","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/19/2012","73","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/20/2012","43","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/21/2012","59","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/22/2012","50","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/23/2012","52","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/24/2012","72","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/25/2012","78","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/26/2012","77","PM2.5","Royal Palm Beach","12-099-0009","AQS"
"07/27/2012","67","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/28/2012","72","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/29/2012","73","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/30/2012","68","PM2.5","Miami Fire Station","12-086-1016","AQS"
"07/31/2012","57","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/01/2012","52","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/02/2012","64","PM2.5","Miami Fire Station","12-086-1016","AQS"
"08/03/2012","42","PM2.5","HOMESTEAD FIRE STATION","12-086-6001","AQS"
"08/04/2012","38","Ozone","Rosenstiel","12-086-0027","AQS"
"08/05/2012","35","PM2.5","Miami Fire Station","12-086-1016","AQS"
