"Date","PM10 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/23/2014","11","","Newark Firehouse","34-013-0003","AQS"
"09/26/2014","19","","Jersey City Firehouse","34-017-1003","AQS"
"09/29/2014","23","","Newark Firehouse","34-013-0003","AQS"
"10/02/2014","10","","Jersey City Firehouse","34-017-1003","AQS"
"10/05/2014","10","","Newark Firehouse","34-013-0003","AQS"
"10/08/2014","13","","Jersey City Firehouse","34-017-1003","AQS"
"10/11/2014","8","","Newark Firehouse","34-013-0003","AQS"
"10/14/2014","16","","Jersey City Firehouse","34-017-1003","AQS"
"10/17/2014","11","","Newark Firehouse","34-013-0003","AQS"
"10/20/2014","15","","Jersey City Firehouse","34-017-1003","AQS"
"10/23/2014","2","","Newark Firehouse","34-013-0003","AQS"
"10/26/2014","7","","Newark Firehouse","34-013-0003","AQS"
"10/29/2014","15","","Newark Firehouse","34-013-0003","AQS"
"11/01/2014","6","","Jersey City Firehouse","34-017-1003","AQS"
"11/04/2014","16","","Newark Firehouse","34-013-0003","AQS"
"11/07/2014","6","","Jersey City Firehouse","34-017-1003","AQS"
"11/10/2014","19","","Newark Firehouse","34-013-0003","AQS"
"11/13/2014","16","","Jersey City Firehouse","34-017-1003","AQS"
"11/16/2014","16","","Newark Firehouse","34-013-0003","AQS"
"11/19/2014","15","","Jersey City Firehouse","34-017-1003","AQS"
"11/22/2014","18","","Newark Firehouse","34-013-0003","AQS"
"11/25/2014","13","","Jersey City Firehouse","34-017-1003","AQS"
"11/28/2014","6","","Newark Firehouse","34-013-0003","AQS"
"12/01/2014","23","","Jersey City Firehouse","34-017-1003","AQS"
"12/04/2014","11","","Newark Firehouse","34-013-0003","AQS"
"12/07/2014","6","","Jersey City Firehouse","34-017-1003","AQS"
"12/13/2014","7","","Jersey City Firehouse","34-017-1003","AQS"
"12/16/2014","24","","Newark Firehouse","34-013-0003","AQS"
"12/19/2014","8","","Jersey City Firehouse","34-017-1003","AQS"
"12/22/2014","16","","Newark Firehouse","34-013-0003","AQS"
"12/25/2014","4","","Jersey City Firehouse","34-017-1003","AQS"
"12/28/2014","9","","Newark Firehouse","34-013-0003","AQS"
"12/31/2014","10","","Jersey City Firehouse","34-017-1003","AQS"
"01/03/2015","11","","Newark Firehouse","34-013-0003","AQS"
"01/06/2015","11","","Jersey City Firehouse","34-017-1003","AQS"
"01/09/2015","13","","Newark Firehouse","34-013-0003","AQS"
"01/12/2015","18","","Jersey City Firehouse","34-017-1003","AQS"
"01/15/2015","18","","Newark Firehouse","34-013-0003","AQS"
"01/18/2015","16","","Jersey City Firehouse","34-017-1003","AQS"
"01/21/2015","16","","Newark Firehouse","34-013-0003","AQS"
"01/24/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"01/27/2015","4","","Newark Firehouse","34-013-0003","AQS"
"01/30/2015","13","","Jersey City Firehouse","34-017-1003","AQS"
"02/02/2015","6","","Newark Firehouse","34-013-0003","AQS"
"02/05/2015","16","","Jersey City Firehouse","34-017-1003","AQS"
"02/08/2015","35","","Newark Firehouse","34-013-0003","AQS"
"02/11/2015","17","","Newark Firehouse","34-013-0003","AQS"
"02/14/2015","18","","Jersey City Firehouse","34-017-1003","AQS"
"02/17/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"02/20/2015","13","","Newark Firehouse","34-013-0003","AQS"
"02/23/2015","14","","Jersey City Firehouse","34-017-1003","AQS"
"02/26/2015","11","","Newark Firehouse","34-013-0003","AQS"
"03/01/2015","20","","Newark Firehouse","34-013-0003","AQS"
"03/04/2015","21","","Newark Firehouse","34-013-0003","AQS"
"03/07/2015","33","","Jersey City Firehouse","34-017-1003","AQS"
"03/10/2015","32","","Newark Firehouse","34-013-0003","AQS"
"03/13/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"03/16/2015","13","","Newark Firehouse","34-013-0003","AQS"
"03/19/2015","13","","Jersey City Firehouse","34-017-1003","AQS"
"03/22/2015","7","","Newark Firehouse","34-013-0003","AQS"
"03/25/2015","35","","Newark Firehouse","34-013-0003","AQS"
"03/31/2015","8","","Jersey City Firehouse","34-017-1003","AQS"
"04/03/2015","15","","Newark Firehouse","34-013-0003","AQS"
"04/06/2015","26","","Newark Firehouse","34-013-0003","AQS"
"04/09/2015","6","","Newark Firehouse","34-013-0003","AQS"
"04/12/2015","11","","Jersey City Firehouse","34-017-1003","AQS"
"04/15/2015","8","","Newark Firehouse","34-013-0003","AQS"
"04/18/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"04/21/2015","7","","Newark Firehouse","34-013-0003","AQS"
"04/24/2015","8","","Jersey City Firehouse","34-017-1003","AQS"
"04/27/2015","1","","Newark Firehouse","34-013-0003","AQS"
"04/30/2015","15","","Jersey City Firehouse","34-017-1003","AQS"
"05/03/2015","18","","Newark Firehouse","34-013-0003","AQS"
"05/06/2015","27","","Jersey City Firehouse","34-017-1003","AQS"
"05/09/2015","26","","Newark Firehouse","34-013-0003","AQS"
"05/12/2015","37","","Jersey City Firehouse","34-017-1003","AQS"
"05/15/2015","24","","Newark Firehouse","34-013-0003","AQS"
"05/18/2015","29","","Jersey City Firehouse","34-017-1003","AQS"
"05/21/2015","10","","Newark Firehouse","34-013-0003","AQS"
"05/24/2015","23","","Jersey City Firehouse","34-017-1003","AQS"
"05/27/2015","22","","Newark Firehouse","34-013-0003","AQS"
"05/30/2015","21","","Jersey City Firehouse","34-017-1003","AQS"
"06/02/2015","4","","Newark Firehouse","34-013-0003","AQS"
"06/05/2015","17","","Jersey City Firehouse","34-017-1003","AQS"
"06/11/2015","41","","Jersey City Firehouse","34-017-1003","AQS"
"06/14/2015","14","","Newark Firehouse","34-013-0003","AQS"
"06/17/2015","16","","Jersey City Firehouse","34-017-1003","AQS"
"06/20/2015","17","","Newark Firehouse","34-013-0003","AQS"
"06/23/2015","36","","Jersey City Firehouse","34-017-1003","AQS"
"06/26/2015","18","","Newark Firehouse","34-013-0003","AQS"
"06/29/2015","7","","Jersey City Firehouse","34-017-1003","AQS"
"07/02/2015","18","","Newark Firehouse","34-013-0003","AQS"
"07/05/2015","19","","Newark Firehouse","34-013-0003","AQS"
"07/08/2015","22","","Newark Firehouse","34-013-0003","AQS"
"07/11/2015","23","","Jersey City Firehouse","34-017-1003","AQS"
"07/14/2015","17","","Newark Firehouse","34-013-0003","AQS"
"07/17/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"07/20/2015","19","","Newark Firehouse","34-013-0003","AQS"
"07/23/2015","17","","Jersey City Firehouse","34-017-1003","AQS"
"07/26/2015","17","","Newark Firehouse","34-013-0003","AQS"
"07/29/2015","27","","Jersey City Firehouse","34-017-1003","AQS"
"08/01/2015","15","","Newark Firehouse","34-013-0003","AQS"
"08/04/2015","17","","Jersey City Firehouse","34-017-1003","AQS"
"08/07/2015","13","","Newark Firehouse","34-013-0003","AQS"
"08/10/2015","13","","Newark Firehouse","34-013-0003","AQS"
"08/13/2015","6","","Newark Firehouse","34-013-0003","AQS"
"08/16/2015","23","","Jersey City Firehouse","34-017-1003","AQS"
"08/19/2015","13","","Newark Firehouse","34-013-0003","AQS"
"08/22/2015","10","","Jersey City Firehouse","34-017-1003","AQS"
"08/25/2015","18","","Newark Firehouse","34-013-0003","AQS"
"08/28/2015","15","","Jersey City Firehouse","34-017-1003","AQS"
"08/31/2015","24","","Newark Firehouse","34-013-0003","AQS"
"09/03/2015","42","","Jersey City Firehouse","34-017-1003","AQS"
"09/06/2015","11","","Newark Firehouse","34-013-0003","AQS"
"09/09/2015","16","","Newark Firehouse","34-013-0003","AQS"
"09/12/2015","12","","Newark Firehouse","34-013-0003","AQS"
"09/15/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"09/18/2015","26","","Newark Firehouse","34-013-0003","AQS"
"09/21/2015","14","","Jersey City Firehouse","34-017-1003","AQS"
"09/24/2015","16","","Newark Firehouse","34-013-0003","AQS"
"09/27/2015","19","","Jersey City Firehouse","34-017-1003","AQS"
"09/30/2015","6","","Newark Firehouse","34-013-0003","AQS"
"10/03/2015","6","","Jersey City Firehouse","34-017-1003","AQS"
"10/06/2015","9","","Newark Firehouse","34-013-0003","AQS"
"10/09/2015","17","","Jersey City Firehouse","34-017-1003","AQS"
"10/12/2015","14","","Newark Firehouse","34-013-0003","AQS"
"10/15/2015","12","","Jersey City Firehouse","34-017-1003","AQS"
"10/18/2015","3","","Newark Firehouse","34-013-0003","AQS"
"10/21/2015","34","","Jersey City Firehouse","34-017-1003","AQS"
"10/24/2015","9","","Newark Firehouse","34-013-0003","AQS"
"10/27/2015","15","","Jersey City Firehouse","34-017-1003","AQS"
"10/30/2015","5","","Newark Firehouse","34-013-0003","AQS"
"11/02/2015","23","","Jersey City Firehouse","34-017-1003","AQS"
"11/05/2015","23","","Newark Firehouse","34-013-0003","AQS"
"11/08/2015","7","","Jersey City Firehouse","34-017-1003","AQS"
"11/11/2015","5","","Newark Firehouse","34-013-0003","AQS"
"11/14/2015","6","","Jersey City Firehouse","34-017-1003","AQS"
"11/17/2015","13","","Newark Firehouse","34-013-0003","AQS"
"11/20/2015","9","","Jersey City Firehouse","34-017-1003","AQS"
"11/23/2015","3","","Newark Firehouse","34-013-0003","AQS"
"11/26/2015","22","","Jersey City Firehouse","34-017-1003","AQS"
"11/29/2015","4","","Newark Firehouse","34-013-0003","AQS"
"12/02/2015","18","","Jersey City Firehouse","34-017-1003","AQS"
"12/05/2015","13","","Newark Firehouse","34-013-0003","AQS"
"12/08/2015","22","","Jersey City Firehouse","34-017-1003","AQS"
"12/11/2015","31","","Newark Firehouse","34-013-0003","AQS"
"12/14/2015","30","","Newark Firehouse","34-013-0003","AQS"
"12/17/2015","14","","Newark Firehouse","34-013-0003","AQS"
"12/20/2015","7","","Newark Firehouse","34-013-0003","AQS"
"12/23/2015","17","","Newark Firehouse","34-013-0003","AQS"
"12/26/2015","7","","Newark Firehouse","34-013-0003","AQS"
"12/29/2015","6","","Newark Firehouse","34-013-0003","AQS"
"01/01/2016","3","","Newark Firehouse","34-013-0003","AQS"
"01/04/2016","4","","Newark Firehouse","34-013-0003","AQS"
"01/07/2016","51","","Jersey City Firehouse","34-017-1003","AQS"
"01/10/2016","11","","Newark Firehouse","34-013-0003","AQS"
"01/13/2016","12","","Jersey City Firehouse","34-017-1003","AQS"
