"Date","Sulfur Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"08/01/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/02/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/03/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/04/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/05/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/06/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/07/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/08/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/09/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/10/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/11/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/12/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/13/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/14/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/15/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/16/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/17/2011","1","","PENNSUCO","12-086-0019","AQS"
"08/18/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/19/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/20/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/21/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/22/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/23/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"08/24/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/25/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/26/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/27/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/28/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/29/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"08/30/2011","1","","PENNSUCO","12-086-0019","AQS"
"08/31/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/01/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/02/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/03/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/04/2011","3","","Lincoln Park Elementary","12-011-0010","AQS"
"09/05/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/06/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/07/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/08/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/09/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/10/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/11/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/12/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/13/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/14/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/15/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/16/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/17/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/18/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/19/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"09/20/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/21/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/22/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/23/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/24/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/25/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/26/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/27/2011","1","","PENNSUCO","12-086-0019","AQS"
"09/28/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/29/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"09/30/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/01/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/02/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/03/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"10/04/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"10/05/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/06/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/07/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/08/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/09/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/10/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"10/11/2011","1","","Lincoln Park Elementary","12-011-0010","AQS"
"10/12/2011","1","","PENNSUCO","12-086-0019","AQS"
"10/13/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/14/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
"10/15/2011","0","","Lincoln Park Elementary","12-011-0010","AQS"
