"Date","PM2.5 AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/23/2012","24","","QUEENS COLLEGE 2","36-081-0124","AQS"
"09/24/2012","64","","PS 19","36-061-0128","AQS"
"09/25/2012","43","","Newark Firehouse","34-013-0003","AQS"
"09/26/2012","52","","IS 74","36-005-0112","AQS"
"09/27/2012","65","","Elizabeth Lab","34-039-0004","AQS"
"09/28/2012","54","","Elizabeth Lab","34-039-0004","AQS"
"09/29/2012","29","","Flemington","34-019-0001","AQS"
"09/30/2012","49","","Elizabeth Lab","34-039-0004","AQS"
"10/01/2012","33","","RICHMOND POST OFFICE","36-085-0055","AQS"
"10/02/2012","59","","Elizabeth Lab","34-039-0004","AQS"
"10/03/2012","87","","Elizabeth Lab","34-039-0004","AQS"
"10/04/2012","69","","Elizabeth Lab","34-039-0004","AQS"
"10/05/2012","62","","PS 314","36-047-0052","AQS"
"10/06/2012","57","","Newark Firehouse","34-013-0003","AQS"
"10/07/2012","27","","Elizabeth Lab","34-039-0004","AQS"
"10/08/2012","28","","Elizabeth Lab","34-039-0004","AQS"
"10/09/2012","36","","MORRISANIA","36-005-0080","AQS"
"10/10/2012","30","","Elizabeth Lab","34-039-0004","AQS"
"10/11/2012","39","","Jersey City Firehouse","34-017-1003","AQS"
"10/12/2012","54","","QUEENS COLLEGE 2","36-081-0124","AQS"
"10/13/2012","20","","Rahway","34-039-2003","AQS"
"10/14/2012","31","","PS 19","36-061-0128","AQS"
"10/15/2012","38","","DIVISION STREET","36-061-0134","AQS"
"10/16/2012","21","","Jersey City Firehouse","34-017-1003","AQS"
"10/17/2012","51","","IS 74","36-005-0112","AQS"
"10/18/2012","55","","Elizabeth Lab","34-039-0004","AQS"
"10/19/2012","36","","Elizabeth Lab","34-039-0004","AQS"
"10/20/2012","41","","PS 19","36-061-0128","AQS"
"10/21/2012","37","","Newark Firehouse","34-013-0003","AQS"
"10/22/2012","43","","PS 19","36-061-0128","AQS"
"10/23/2012","69","","PS 314","36-047-0052","AQS"
"10/24/2012","70","","Elizabeth Lab","34-039-0004","AQS"
"10/25/2012","43","","Flemington","34-019-0001","AQS"
"10/26/2012","39","","NEWBURGH","36-071-0002","AQS"
"10/27/2012","59","","NEWBURGH","36-071-0002","AQS"
"10/28/2012","25","","Jersey City Firehouse","34-017-1003","AQS"
"10/29/2012","41","","IS 74","36-005-0112","AQS"
"10/30/2012","30","","Jersey City Firehouse","34-017-1003","AQS"
"10/31/2012","25","","Toms River","34-029-2002","AQS"
"11/01/2012","46","","Jersey City Firehouse","34-017-1003","AQS"
"11/02/2012","20","","IS 293","36-047-0121","AQS"
"11/03/2012","19","","CCNY","36-061-0135","AQS"
"11/04/2012","27","","PS 19","36-061-0128","AQS"
"11/05/2012","33","","PS 19","36-061-0128","AQS"
"11/06/2012","44","","Newark Firehouse","34-013-0003","AQS"
"11/07/2012","45","","PS 19","36-061-0128","AQS"
"11/08/2012","36","","PS 19","36-061-0128","AQS"
"11/09/2012","53","","PS 19","36-061-0128","AQS"
"11/10/2012","91","","Newark Firehouse","34-013-0003","AQS"
"11/11/2012","94","","Newark Firehouse","34-013-0003","AQS"
"11/12/2012","83","","Newark Firehouse","34-013-0003","AQS"
"11/13/2012","33","","RICHMOND POST OFFICE","36-085-0055","AQS"
"11/14/2012","50","","PS 19","36-061-0128","AQS"
"11/15/2012","51","","MORRISANIA","36-005-0080","AQS"
"11/16/2012","55","","PS 19","36-061-0128","AQS"
"11/17/2012","63","","Elizabeth Lab","34-039-0004","AQS"
"11/18/2012","66","","Newark Firehouse","34-013-0003","AQS"
"11/19/2012","63","","Newark Firehouse","34-013-0003","AQS"
"11/20/2012","65","","NEWBURGH","36-071-0002","AQS"
"11/21/2012","69","","MORRISANIA","36-005-0080","AQS"
"11/22/2012","75","","Newark Firehouse","34-013-0003","AQS"
"11/23/2012","82","","Newark Firehouse","34-013-0003","AQS"
"11/24/2012","34","","DIVISION STREET","36-061-0134","AQS"
"11/25/2012","43","","DIVISION STREET","36-061-0134","AQS"
"11/26/2012","63","","Elizabeth Lab","34-039-0004","AQS"
"11/27/2012","68","","Elizabeth Lab","34-039-0004","AQS"
"11/28/2012","54","","Elizabeth Lab","34-039-0004","AQS"
"11/29/2012","76","","Elizabeth Lab","34-039-0004","AQS"
"11/30/2012","96","","Elizabeth Lab","34-039-0004","AQS"
"12/01/2012","77","","FRESHKILLS WEST","36-085-0111","AQS"
"12/02/2012","89","","Elizabeth Lab","34-039-0004","AQS"
"12/03/2012","90","","Jersey City Firehouse","34-017-1003","AQS"
"12/04/2012","91","","Elizabeth Lab","34-039-0004","AQS"
"12/05/2012","38","","DIVISION STREET","36-061-0134","AQS"
"12/06/2012","56","","PS 314","36-047-0052","AQS"
"12/07/2012","91","","Jersey City Firehouse","34-017-1003","AQS"
"12/08/2012","80","","DIVISION STREET","36-061-0134","AQS"
"12/09/2012","58","","Elizabeth Lab","34-039-0004","AQS"
"12/10/2012","76","","PS 314","36-047-0052","AQS"
"12/11/2012","42","","PS 314","36-047-0052","AQS"
"12/12/2012","60","","PS 314","36-047-0052","AQS"
"12/13/2012","70","","PS 314","36-047-0052","AQS"
"12/14/2012","83","","JHS 126","36-047-0122","AQS"
"12/15/2012","75","","Elizabeth Lab","34-039-0004","AQS"
"12/16/2012","53","","Elizabeth Lab","34-039-0004","AQS"
"12/17/2012","67","","PS 19","36-061-0128","AQS"
"12/18/2012","59","","PS 19","36-061-0128","AQS"
"12/19/2012","51","","PS 19","36-061-0128","AQS"
"12/20/2012","49","","PS 19","36-061-0128","AQS"
"12/21/2012","35","","PS 19","36-061-0128","AQS"
"12/22/2012","43","","PS 19","36-061-0128","AQS"
"12/23/2012","55","","PS 19","36-061-0128","AQS"
"12/24/2012","60","","RICHMOND POST OFFICE","36-085-0055","AQS"
"12/25/2012","62","","CCNY","36-061-0135","AQS"
"12/26/2012","45","","Paterson","34-031-0005","AQS"
"12/27/2012","43","","PS 19","36-061-0128","AQS"
"12/28/2012","48","","MASPETH LIBRARY","36-081-0120","AQS"
"12/29/2012","69","","PS 19","36-061-0128","AQS"
"12/30/2012","53","","PS 19","36-061-0128","AQS"
"12/31/2012","57","","PS 19","36-061-0128","AQS"
"01/01/2013","65","","PS 19","36-061-0128","AQS"
"01/02/2013","57","","PS 19","36-061-0128","AQS"
"01/03/2013","64","","PS 19","36-061-0128","AQS"
"01/04/2013","69","","PS 19","36-061-0128","AQS"
"01/05/2013","68","","PS 314","36-047-0052","AQS"
"01/06/2013","80","","PS 314","36-047-0052","AQS"
"01/07/2013","95","","PS 314","36-047-0052","AQS"
"01/08/2013","88","","PS 314","36-047-0052","AQS"
"01/09/2013","108","","PS 314","36-047-0052","AQS"
"01/10/2013","74","","PS 314","36-047-0052","AQS"
"01/11/2013","60","","MORRISANIA","36-005-0080","AQS"
"01/12/2013","77","","PS 314","36-047-0052","AQS"
"01/13/2013","77","","MORRISANIA","36-005-0080","AQS"
"01/14/2013","63","","PS 314","36-047-0052","AQS"
"01/15/2013","66","","CCNY","36-061-0135","AQS"
"01/16/2013","68","","PS 19","36-061-0128","AQS"
"01/17/2013","64","","PS 19","36-061-0128","AQS"
"01/18/2013","53","","PS 19","36-061-0128","AQS"
"01/19/2013","50","","MORRISANIA","36-005-0080","AQS"
"01/20/2013","55","","PS 19","36-061-0128","AQS"
"01/21/2013","54","","MORRISANIA","36-005-0080","AQS"
"01/22/2013","60","","MORRISANIA","36-005-0080","AQS"
"01/23/2013","104","","MORRISANIA","36-005-0080","AQS"
"01/24/2013","113","","MORRISANIA","36-005-0080","AQS"
"01/25/2013","83","","MORRISANIA","36-005-0080","AQS"
"01/26/2013","69","","PS 19","36-061-0128","AQS"
"01/27/2013","82","","PS 19","36-061-0128","AQS"
"01/28/2013","96","","Rahway","34-039-2003","AQS"
"01/29/2013","95","","Elizabeth Lab","34-039-0004","AQS"
