"Date","Nitrogen Dioxide AQI Value","Main Pollutant","Site Name","Site ID","Source"
"05/08/2011","16","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/09/2011","35","","Lab Annex","12-086-4002","AQS"
"05/10/2011","24","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/11/2011","19","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/12/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/13/2011","18","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/14/2011","25","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/15/2011","14","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/16/2011","32","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/17/2011","30","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/18/2011","29","","Lab Annex","12-086-4002","AQS"
"05/19/2011","29","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"05/20/2011","16","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/21/2011","9","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/22/2011","5","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/23/2011","11","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/24/2011","18","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/25/2011","18","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/26/2011","19","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/27/2011","19","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/28/2011","22","","Lab Annex","12-086-4002","AQS"
"05/29/2011","10","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/30/2011","7","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"05/31/2011","9","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/01/2011","15","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/02/2011","13","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/03/2011","10","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/04/2011","8","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/05/2011","6","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/06/2011","25","","Lab Annex","12-086-4002","AQS"
"06/07/2011","13","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/08/2011","14","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/09/2011","10","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/10/2011","10","","SAWGRASS SPRINGS MIDDLE SCHOOL","12-011-0031","AQS"
"06/11/2011","14","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/12/2011","21","","Lab Annex","12-086-4002","AQS"
"06/13/2011","29","","Lab Annex","12-086-4002","AQS"
"06/14/2011","21","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/15/2011","17","","Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park)","12-011-8002","AQS"
"06/16/2011","33","","Lab Annex","12-086-4002","AQS"
