Date,AQI Value,Main Pollutant,Site Name,Site ID,Source
10/23/2014,100,Ozone,Reseda,06-037-1201,AQS
10/24/2014,84,Ozone,Lancaster-division Street,06-037-9033,AQS
10/25/2014,60,PM2.5,Reseda,06-037-1201,AQS
10/26/2014,55,PM2.5,Reseda,06-037-1201,AQS
10/27/2014,62,PM2.5,Reseda,06-037-1201,AQS
10/28/2014,74,Ozone,Mission Viejo,06-059-2022,AQS
10/29/2014,84,Ozone,Reseda,06-037-1201,AQS
10/30/2014,71,Ozone,Lancaster-division Street,06-037-9033,AQS
10/31/2014,66,PM2.5,Reseda,06-037-1201,AQS
11/01/2014,53,PM2.5,Reseda,06-037-1201,AQS
11/02/2014,95,NO2,Long Beach (hudson),06-037-4006,AQS
11/03/2014,48,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/04/2014,64,NO2,Lax Hastings,06-037-5005,AQS
11/05/2014,86,NO2,Lax Hastings,06-037-5005,AQS
11/06/2014,75,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/07/2014,58,NO2,Anaheim Near-road,06-059-0008,AQS
11/08/2014,82,NO2,Long Beach (hudson),06-037-4006,AQS
11/09/2014,97,Ozone,Santa Clarita,06-037-6012,AQS
11/10/2014,89,PM2.5,Reseda,06-037-1201,AQS
11/11/2014,62,PM2.5,Reseda,06-037-1201,AQS
11/12/2014,52,PM2.5,Glendora,06-037-0016,AQS
11/13/2014,59,PM2.5,Glendora,06-037-0016,AQS
11/14/2014,69,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/15/2014,64,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/16/2014,71,PM10,Anaheim,06-059-0007,AQS
11/17/2014,49,NO2,Los Angeles-north Main Street,06-037-1103,AQS
11/18/2014,47,NO2,Los Angeles-north Main Street,06-037-1103,AQS
11/19/2014,56,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/20/2014,57,PM2.5,Reseda,06-037-1201,AQS
11/21/2014,48,PM2.5,Glendora,06-037-0016,AQS
11/22/2014,63,PM10,Lancaster-division Street,06-037-9033,AQS
11/23/2014,55,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/24/2014,67,NO2,Long Beach (hudson),06-037-4006,AQS
11/25/2014,54,NO2,Long Beach (hudson),06-037-4006,AQS
11/26/2014,87,NO2,Long Beach (hudson),06-037-4006,AQS
11/27/2014,58,PM2.5,Long Beach (south),06-037-4004,AQS
11/28/2014,91,PM2.5,Compton,06-037-1302,AQS
11/29/2014,69,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
11/30/2014,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/01/2014,94,PM2.5,Pasadena,06-037-2005,AQS
12/02/2014,103,NO2,Long Beach (hudson),06-037-4006,AQS
12/03/2014,40,PM2.5,Anaheim,06-059-0007,AQS
12/04/2014,48,PM2.5,Glendora,06-037-0016,AQS
12/05/2014,74,PM2.5,Anaheim,06-059-0007,AQS
12/06/2014,72,PM2.5,Anaheim,06-059-0007,AQS
12/07/2014,75,PM2.5,Anaheim,06-059-0007,AQS
12/08/2014,62,PM2.5,Anaheim,06-059-0007,AQS
12/09/2014,65,PM2.5,Anaheim,06-059-0007,AQS
12/10/2014,89,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/11/2014,85,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/12/2014,44,Ozone,Lax Hastings,06-037-5005,AQS
12/13/2014,58,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/14/2014,64,PM2.5,Anaheim,06-059-0007,AQS
12/15/2014,70,PM2.5,Long Beach (south),06-037-4004,AQS
12/16/2014,62,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/17/2014,43,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/18/2014,72,PM2.5,Reseda,06-037-1201,AQS
12/19/2014,71,PM2.5,Reseda,06-037-1201,AQS
12/20/2014,88,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/21/2014,114,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
12/22/2014,104,PM2.5,Anaheim,06-059-0007,AQS
12/23/2014,79,PM2.5,Anaheim,06-059-0007,AQS
12/24/2014,65,PM2.5,Reseda,06-037-1201,AQS
12/25/2014,51,PM2.5,Anaheim,06-059-0007,AQS
12/26/2014,41,NO2,Los Angeles-north Main Street,06-037-1103,AQS
12/27/2014,53,PM2.5,Long Beach (south),06-037-4004,AQS
12/28/2014,80,PM2.5,Reseda,06-037-1201,AQS
12/29/2014,97,PM2.5,Reseda,06-037-1201,AQS
12/30/2014,72,PM2.5,Reseda,06-037-1201,AQS
12/31/2014,89,PM2.5,Compton,06-037-1302,AQS
01/01/2015,156,PM2.5,Reseda,06-037-1201,AQS
01/02/2015,105,PM2.5,Reseda,06-037-1201,AQS
01/03/2015,106,PM2.5,Reseda,06-037-1201,AQS
01/04/2015,107,PM2.5,Long Beach (south),06-037-4004,AQS
01/05/2015,73,PM2.5,Anaheim,06-059-0007,AQS
01/06/2015,63,PM10,Long Beach (hudson),06-037-4006,AQS
01/07/2015,66,PM2.5,Anaheim,06-059-0007,AQS
01/08/2015,77,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/09/2015,105,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/10/2015,123,PM2.5,Reseda,06-037-1201,AQS
01/11/2015,76,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/12/2015,103,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/13/2015,114,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/14/2015,70,PM2.5,Long Beach (south),06-037-4004,AQS
01/15/2015,46,PM2.5,Long Beach (south),06-037-4004,AQS
01/16/2015,54,PM2.5,Long Beach (south),06-037-4004,AQS
01/17/2015,80,PM2.5,Long Beach (south),06-037-4004,AQS
01/18/2015,105,PM2.5,Compton,06-037-1302,AQS
01/19/2015,110,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/20/2015,153,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/21/2015,159,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
01/22/2015,83,PM2.5,Long Beach (south),06-037-4004,AQS
01/23/2015,53,PM2.5,Long Beach (south),06-037-4004,AQS
01/24/2015,88,PM2.5,Mission Viejo,06-059-2022,AQS
01/25/2015,86,NO2,Lax Hastings,06-037-5005,AQS
01/26/2015,50,PM2.5,Reseda,06-037-1201,AQS
01/27/2015,54,PM2.5,Anaheim,06-059-0007,AQS
01/28/2015,56,PM2.5,Long Beach (south),06-037-4004,AQS
01/29/2015,64,PM2.5,Long Beach (south),06-037-4004,AQS
01/30/2015,78,PM2.5,Reseda,06-037-1201,AQS
01/31/2015,69,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/01/2015,73,PM2.5,Long Beach (south),06-037-4004,AQS
02/02/2015,87,PM2.5,Long Beach (south),06-037-4004,AQS
02/03/2015,120,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/04/2015,156,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/05/2015,149,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/06/2015,141,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/07/2015,105,PM2.5,Anaheim,06-059-0007,AQS
02/08/2015,72,PM2.5,Reseda,06-037-1201,AQS
02/09/2015,50,PM2.5,Anaheim,06-059-0007,AQS
02/10/2015,62,PM2.5,Anaheim,06-059-0007,AQS
02/11/2015,55,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/12/2015,52,NO2,Anaheim Near-road,06-059-0008,AQS
02/13/2015,56,PM2.5,Long Beach-route 710 Near Road,06-037-4008,AQS
02/14/2015,58,Ozone,West Los Angeles,06-037-0113,AQS
02/15/2015,93,Ozone,Pomona,06-037-1701,AQS
02/16/2015,101,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/17/2015,110,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/18/2015,127,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/19/2015,152,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/20/2015,130,PM2.5,Reseda,06-037-1201,AQS
02/21/2015,80,PM2.5,Reseda,06-037-1201,AQS
02/22/2015,60,PM2.5,Reseda,06-037-1201,AQS
02/23/2015,50,PM2.5,Reseda,06-037-1201,AQS
02/24/2015,43,Ozone,Santa Clarita,06-037-6012,AQS
02/25/2015,60,PM2.5,Reseda,06-037-1201,AQS
02/26/2015,71,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
02/27/2015,66,PM2.5,Reseda,06-037-1201,AQS
02/28/2015,42,Ozone,Los Angeles-north Main Street,06-037-1103,AQS
03/01/2015,48,PM2.5,Reseda,06-037-1201,AQS
03/02/2015,56,PM2.5,Reseda,06-037-1201,AQS
03/03/2015,54,PM2.5,Reseda,06-037-1201,AQS
03/04/2015,50,PM2.5,Reseda,06-037-1201,AQS
03/05/2015,54,NO2,Los Angeles-north Main Street,06-037-1103,AQS
03/06/2015,54,NO2,Long Beach (hudson),06-037-4006,AQS
03/07/2015,60,PM2.5,Long Beach-route 710 Near Road,06-037-4008,AQS
03/08/2015,71,Ozone,Pomona,06-037-1701,AQS
03/09/2015,91,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
03/10/2015,115,Ozone,Lancaster-division Street,06-037-9033,AQS
03/11/2015,93,PM2.5,Anaheim,06-059-0007,AQS
03/12/2015,60,NO2,Long Beach (hudson),06-037-4006,AQS
03/13/2015,61,NO2,Long Beach (hudson),06-037-4006,AQS
03/14/2015,84,Ozone,Los Angeles-north Main Street,06-037-1103,AQS
03/15/2015,93,Ozone,Los Angeles-north Main Street,06-037-1103,AQS
03/16/2015,100,Ozone,West Los Angeles,06-037-0113,AQS
03/17/2015,87,Ozone,West Los Angeles,06-037-0113,AQS
03/18/2015,74,PM2.5,Reseda,06-037-1201,AQS
03/19/2015,125,PM2.5,Long Beach-route 710 Near Road,06-037-4008,AQS
03/20/2015,114,PM2.5,Long Beach (south),06-037-4004,AQS
03/21/2015,100,Ozone,Santa Clarita,06-037-6012,AQS
03/22/2015,74,PM2.5,Reseda,06-037-1201,AQS
03/23/2015,58,PM2.5,Glendora,06-037-0016,AQS
03/24/2015,52,PM2.5,Anaheim,06-059-0007,AQS
03/25/2015,61,Ozone,Costa Mesa,06-059-1003,AQS
03/26/2015,62,NO2,Lax Hastings,06-037-5005,AQS
03/27/2015,90,Ozone,Los Angeles-north Main Street,06-037-1103,AQS
03/28/2015,77,Ozone,Santa Clarita,06-037-6012,AQS
03/29/2015,80,Ozone,Glendora,06-037-0016,AQS
03/30/2015,112,Ozone,Santa Clarita,06-037-6012,AQS
03/31/2015,97,Ozone,Santa Clarita,06-037-6012,AQS
04/01/2015,77,Ozone,Santa Clarita,06-037-6012,AQS
04/02/2015,80,Ozone,Pomona,06-037-1701,AQS
04/03/2015,80,PM2.5,Long Beach-route 710 Near Road,06-037-4008,AQS
04/04/2015,134,PM2.5,Long Beach-route 710 Near Road,06-037-4008,AQS
04/05/2015,87,Ozone,Santa Clarita,06-037-6012,AQS
04/06/2015,58,Ozone,Pomona,06-037-1701,AQS
04/07/2015,48,Ozone,Costa Mesa,06-059-1003,AQS
04/08/2015,49,Ozone,Santa Clarita,06-037-6012,AQS
04/09/2015,74,Ozone,Reseda,06-037-1201,AQS
04/10/2015,105,Ozone,Reseda,06-037-1201,AQS
04/11/2015,112,Ozone,Reseda,06-037-1201,AQS
04/12/2015,136,Ozone,Santa Clarita,06-037-6012,AQS
04/13/2015,112,Ozone,Santa Clarita,06-037-6012,AQS
04/14/2015,77,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/15/2015,84,Ozone,Pomona,06-037-1701,AQS
04/16/2015,84,Ozone,Pomona,06-037-1701,AQS
04/17/2015,100,Ozone,Reseda,06-037-1201,AQS
04/18/2015,129,Ozone,Santa Clarita,06-037-6012,AQS
04/19/2015,150,Ozone,Pomona,06-037-1701,AQS
04/20/2015,119,Ozone,Lancaster-division Street,06-037-9033,AQS
04/21/2015,61,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
04/22/2015,61,Ozone,Lancaster-division Street,06-037-9033,AQS
04/23/2015,56,PM2.5,Glendora,06-037-0016,AQS
04/24/2015,51,PM2.5,Glendora,06-037-0016,AQS
04/25/2015,64,PM2.5,Anaheim,06-059-0007,AQS
04/26/2015,77,Ozone,Pomona,06-037-1701,AQS
04/27/2015,108,Ozone,Pomona,06-037-1701,AQS
04/28/2015,112,Ozone,Santa Clarita,06-037-6012,AQS
04/29/2015,119,Ozone,Lancaster-division Street,06-037-9033,AQS
04/30/2015,125,PM2.5,Long Beach-route 710 Near Road,06-037-4008,AQS
05/01/2015,77,Ozone,Lancaster-division Street,06-037-9033,AQS
05/02/2015,74,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
05/03/2015,77,Ozone,Azusa,06-037-0002,AQS
05/04/2015,59,PM2.5,Reseda,06-037-1201,AQS
05/05/2015,69,PM2.5,Long Beach (north),06-037-4002,AQS
05/06/2015,54,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
05/07/2015,55,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
05/08/2015,50,PM2.5,Reseda,06-037-1201,AQS
05/09/2015,64,PM2.5,Los Angeles-north Main Street,06-037-1103,AQS
05/10/2015,97,Ozone,Pomona,06-037-1701,AQS
05/11/2015,87,Ozone,Lancaster-division Street,06-037-9033,AQS
05/12/2015,108,Ozone,Lancaster-division Street,06-037-9033,AQS
05/13/2015,97,Ozone,Lancaster-division Street,06-037-9033,AQS
05/14/2015,49,Ozone,Lancaster-division Street,06-037-9033,AQS
05/15/2015,58,Ozone,Lancaster-division Street,06-037-9033,AQS
05/16/2015,77,Ozone,Lancaster-division Street,06-037-9033,AQS
05/17/2015,93,Ozone,Lancaster-division Street,06-037-9033,AQS
05/18/2015,79,PM2.5,Long Beach (north),06-037-4002,AQS
05/19/2015,77,Ozone,Lancaster-division Street,06-037-9033,AQS
05/20/2015,71,Ozone,Lancaster-division Street,06-037-9033,AQS
05/21/2015,60,PM2.5,Reseda,06-037-1201,AQS
05/22/2015,53,PM2.5,Reseda,06-037-1201,AQS
05/23/2015,54,PM2.5,Reseda,06-037-1201,AQS
05/24/2015,71,Ozone,Lancaster-division Street,06-037-9033,AQS
05/25/2015,84,Ozone,Lancaster-division Street,06-037-9033,AQS
05/26/2015,93,Ozone,Lancaster-division Street,06-037-9033,AQS
05/27/2015,119,Ozone,Lancaster-division Street,06-037-9033,AQS
