Date,Nitrogen Dioxide AQI Value,Site Name,Site ID,Source
09/15/2020,77,Long Beach-route 710 Near Road,06-037-4008,AQS
09/16/2020,100,Long Beach-route 710 Near Road,06-037-4008,AQS
09/17/2020,68,Long Beach-route 710 Near Road,06-037-4008,AQS
09/18/2020,55,Pico Rivera #2,06-037-1602,AQS
09/19/2020,43,Pomona,06-037-1701,AQS
09/20/2020,29,Los Angeles-north Main Street,06-037-1103,AQS
09/21/2020,38,Long Beach-route 710 Near Road,06-037-4008,AQS
09/22/2020,42,Long Beach-route 710 Near Road,06-037-4008,AQS
09/23/2020,45,Pomona,06-037-1701,AQS
09/24/2020,52,Pomona,06-037-1701,AQS
09/25/2020,35,Pomona,06-037-1701,AQS
09/26/2020,27,Los Angeles-north Main Street,06-037-1103,AQS
09/27/2020,18,Lancaster-division Street,06-037-9033,AQS
09/28/2020,45,Long Beach-route 710 Near Road,06-037-4008,AQS
09/29/2020,55,Long Beach-route 710 Near Road,06-037-4008,AQS
09/30/2020,96,Long Beach-route 710 Near Road,06-037-4008,AQS
10/01/2020,60,Anaheim Near-road,06-059-0008,AQS
10/02/2020,62,Compton,06-037-1302,AQS
10/03/2020,50,Pico Rivera #2,06-037-1602,AQS
10/04/2020,43,Los Angeles-north Main Street,06-037-1103,AQS
10/05/2020,62,Long Beach-route 710 Near Road,06-037-4008,AQS
10/06/2020,58,Pomona,06-037-1701,AQS
10/07/2020,55,Pomona,06-037-1701,AQS
10/08/2020,34,Long Beach-route 710 Near Road,06-037-4008,AQS
10/09/2020,42,Long Beach-route 710 Near Road,06-037-4008,AQS
10/10/2020,22,Long Beach-route 710 Near Road,06-037-4008,AQS
10/11/2020,21,Pomona,06-037-1701,AQS
10/12/2020,68,Long Beach-route 710 Near Road,06-037-4008,AQS
10/13/2020,77,Long Beach-route 710 Near Road,06-037-4008,AQS
10/14/2020,70,Compton,06-037-1302,AQS
10/15/2020,99,Long Beach-route 710 Near Road,06-037-4008,AQS
10/16/2020,61,Long Beach-route 710 Near Road,06-037-4008,AQS
10/17/2020,44,Los Angeles-north Main Street,06-037-1103,AQS
10/18/2020,31,Pomona,06-037-1701,AQS
10/19/2020,35,Long Beach-route 710 Near Road,06-037-4008,AQS
10/20/2020,43,Long Beach-route 710 Near Road,06-037-4008,AQS
