Date,PM10 AQI Value,Site Name,Site ID,Source
05/26/2011,29,Glendora,06-037-0016,AQS
05/27/2011,39,Azusa,06-037-0002,AQS
05/28/2011,33,Long Beach (north),06-037-4002,AQS
05/29/2011,33,Los Angeles-north Main Street,06-037-1103,AQS
05/30/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
05/31/2011,30,Los Angeles-north Main Street,06-037-1103,AQS
06/01/2011,25,Los Angeles-north Main Street,06-037-1103,AQS
06/02/2011,33,Los Angeles-north Main Street,06-037-1103,AQS
06/03/2011,31,Los Angeles-north Main Street,06-037-1103,AQS
06/04/2011,26,Glendora,06-037-0016,AQS
06/05/2011,19,Los Angeles-north Main Street,06-037-1103,AQS
06/06/2011,19,Los Angeles-north Main Street,06-037-1103,AQS
06/07/2011,24,Los Angeles-north Main Street,06-037-1103,AQS
06/08/2011,31,Glendora,06-037-0016,AQS
06/09/2011,41,Glendora,06-037-0016,AQS
06/10/2011,37,Glendora,06-037-0016,AQS
06/11/2011,31,Glendora,06-037-0016,AQS
06/12/2011,26,Glendora,06-037-0016,AQS
06/13/2011,34,Glendora,06-037-0016,AQS
06/14/2011,46,Azusa,06-037-0002,AQS
06/15/2011,42,Glendora,06-037-0016,AQS
06/16/2011,27,Glendora,06-037-0016,AQS
06/17/2011,26,Glendora,06-037-0016,AQS
06/18/2011,34,Glendora,06-037-0016,AQS
06/19/2011,27,Glendora,06-037-0016,AQS
06/20/2011,41,Glendora,06-037-0016,AQS
06/21/2011,48,Glendora,06-037-0016,AQS
06/22/2011,46,Glendora,06-037-0016,AQS
06/23/2011,36,Glendora,06-037-0016,AQS
06/24/2011,38,Glendora,06-037-0016,AQS
06/25/2011,40,Glendora,06-037-0016,AQS
06/26/2011,38,Azusa,06-037-0002,AQS
06/27/2011,42,Glendora,06-037-0016,AQS
06/28/2011,39,Los Angeles-north Main Street,06-037-1103,AQS
06/29/2011,32,Glendora,06-037-0016,AQS
06/30/2011,28,Los Angeles-north Main Street,06-037-1103,AQS
07/01/2011,37,Los Angeles-north Main Street,06-037-1103,AQS
07/02/2011,45,Glendora,06-037-0016,AQS
07/03/2011,50,Glendora,06-037-0016,AQS
07/04/2011,46,Glendora,06-037-0016,AQS
07/05/2011,63,Glendora,06-037-0016,AQS
07/06/2011,41,Glendora,06-037-0016,AQS
07/07/2011,39,Glendora,06-037-0016,AQS
07/08/2011,51,Azusa,06-037-0002,AQS
07/09/2011,32,Los Angeles-north Main Street,06-037-1103,AQS
07/10/2011,33,Los Angeles-north Main Street,06-037-1103,AQS
07/11/2011,32,Los Angeles-north Main Street,06-037-1103,AQS
07/12/2011,30,Los Angeles-north Main Street,06-037-1103,AQS
07/13/2011,24,Los Angeles-north Main Street,06-037-1103,AQS
07/14/2011,28,Glendora,06-037-0016,AQS
07/15/2011,26,Glendora,06-037-0016,AQS
07/16/2011,30,Glendora,06-037-0016,AQS
07/17/2011,30,Glendora,06-037-0016,AQS
07/18/2011,32,Glendora,06-037-0016,AQS
07/19/2011,31,Glendora,06-037-0016,AQS
07/20/2011,47,Azusa,06-037-0002,AQS
07/21/2011,49,Glendora,06-037-0016,AQS
07/22/2011,50,Glendora,06-037-0016,AQS
07/23/2011,43,Glendora,06-037-0016,AQS
07/24/2011,34,Glendora,06-037-0016,AQS
07/25/2011,31,Glendora,06-037-0016,AQS
07/26/2011,52,Azusa,06-037-0002,AQS
07/27/2011,40,Glendora,06-037-0016,AQS
07/28/2011,39,Glendora,06-037-0016,AQS
07/29/2011,39,Glendora,06-037-0016,AQS
07/30/2011,35,Glendora,06-037-0016,AQS
07/31/2011,32,Glendora,06-037-0016,AQS
08/01/2011,54,Azusa,06-037-0002,AQS
08/02/2011,38,Glendora,06-037-0016,AQS
08/03/2011,40,Glendora,06-037-0016,AQS
