date,hour,type,东四,天坛,官园,万寿西宫,奥体中心,农展馆,万柳,北部新区,植物园,丰台花园,云岗,古城,房山,大兴,亦庄,通州,顺义,昌平,门头沟,平谷,怀柔,密云,延庆,定陵,八达岭,密云水库,东高村,永乐店,榆垡,琉璃河,前门,永定门内,西直门北,南三环,东四环
20200915,11,NO2,32,19,19,21,23,20,33,20,,27,15,18,17,21,10,20,24,18,18,12,18,10,10,16,15,6,17,9,8,8,,28,38,36,46
20200915,11,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,11,O3,45,53,66,55,60,56,51,69,,61,57,66,77,64,58,64,55,46,86,72,52,74,77,48,70,67,58,59,70,84,,55,40,39,34
20200915,11,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,11,CO,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.7,,0.8,0.6,0.7,0.4,0.8,0.8,0.8,0.9,0.8,0.6,1.5,0.7,0.7,0.6,0.8,0.5,0.7,1.1,1,0.5,0.6,,0.7,0.8,0.9,0.9
20200915,11,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,12,SO2,1,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,,5,3,1,1
20200915,12,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,12,NO2,26,17,20,19,20,15,33,15,,27,15,18,18,18,13,15,24,17,16,13,21,12,10,15,15,3,19,15,8,8,,24,40,38,44
20200915,12,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,12,O3,62,60,68,66,71,70,55,,,60,64,64,80,84,63,72,65,62,81,71,53,66,88,64,77,68,61,66,73,80,,61,44,51,51
20200915,12,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,12,CO,0.9,0.8,0.7,0.6,0.7,0.8,0.8,0.6,,0.8,0.6,0.7,0.4,0.7,0.8,0.8,0.9,0.7,0.6,1.3,0.8,0.8,0.6,0.7,0.5,0.7,1,1.2,0.5,0.6,,0.7,0.7,0.9,0.8
20200915,12,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,13,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,1,3,3,,5,3,3,1
20200915,13,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,13,NO2,16,13,21,19,21,16,27,12,,20,12,14,24,16,7,12,18,15,11,14,24,13,7,15,20,4,20,18,10,8,,18,37,31,24
20200915,13,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,13,O3,80,,69,71,72,75,62,,,75,71,77,73,81,82,77,85,76,88,65,49,51,90,,72,72,66,77,69,87,,77,50,71,69
20200915,13,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,13,CO,0.8,0.7,0.7,0.6,0.7,0.8,0.7,0.9,,0.7,0.6,0.6,0.4,0.7,0.8,0.8,0.7,0.7,0.5,1.4,0.8,0.8,0.4,0.7,0.3,0.7,1,1.2,0.6,0.6,,0.6,0.8,0.8,0.7
20200915,13,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,14,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,,4,3,3,1
20200915,14,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,14,NO2,16,16,20,17,18,17,22,8,,24,10,15,17,17,9,16,20,14,11,15,16,15,11,11,19,6,11,14,7,7,,16,29,33,21
20200915,14,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,14,O3,75,,68,,80,68,65,,,72,77,83,95,78,82,82,80,76,90,76,70,67,78,,63,69,78,70,70,93,,80,55,66,75
20200915,14,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,14,CO,0.8,0.7,0.7,0.6,0.6,0.7,0.6,0.7,,0.7,0.6,0.6,0.4,0.7,0.7,0.9,0.7,0.6,0.5,1.3,0.6,0.8,0.4,,0.4,0.7,0.9,1.2,0.6,0.6,,0.5,0.6,0.8,0.6
20200915,14,CO_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,15,SO2,1,3,3,3,3,3,3,3,,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,,4,3,3,3
20200915,15,SO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,15,NO2,11,,14,15,11,10,19,6,,16,9,12,15,16,13,17,21,11,6,13,10,14,10,3,14,4,10,14,5,5,,20,26,41,32
20200915,15,NO2_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200915,15,O3,82,61,82,75,84,75,86,86,,93,87,90,105,85,80,75,78,76,87,80,80,77,77,73,66,85,71,65,79,109,,73,58,65,63
20200915,15,O3_24h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
