province,date,CO,NO2,NOx,O3,PM10,PM25
Milano,2020-04-11,575.8333333333334,22.876666666666665,35.589999999999996,59.63583333333333,29.275,17.475
Milano,2020-04-12,576.6666666666667,22.467499999999998,35.49875,60.91166666666667,27.799999999999997,17.133333333333333
Milano,2020-04-13,598.3333333333333,22.235,34.93083333333333,61.391666666666666,25.541666666666668,16.616666666666667
Milano,2020-04-14,593.3333333333333,22.018749999999997,34.53583333333333,61.07083333333333,24.05,15.850000000000001
Milano,2020-04-15,583.3333333333334,21.89125,34.80416666666667,60.74166666666667,23.549999999999997,15.399999999999999
Milano,2020-04-16,576.6666666666667,21.86125,35.87833333333333,60.62416666666667,23.633333333333333,15.733333333333334
Milano,2020-04-17,570.8333333333333,21.982083333333332,34.924166666666665,60.825,22.983333333333334,15.616666666666667
Milano,2020-04-18,571.6666666666666,21.9125,33.33833333333333,61.24,22.46666666666667,14.983333333333334
Milano,2020-04-19,574.1666666666667,21.420416666666668,32.3125,61.545833333333334,22.133333333333333,14.9
Milano,2020-04-20,573.3333333333334,21.145833333333332,32.27166666666666,61.33083333333334,22.0,14.4
Milano,2020-04-21,571.6666666666667,21.228333333333335,32.36666666666667,61.454166666666666,21.766666666666666,13.85
Milano,2020-04-22,571.6666666666666,21.26,32.412499999999994,62.177499999999995,21.833333333333336,13.85
Milano,2020-04-23,575.0,21.311666666666667,32.3375,62.74999999999999,22.116666666666667,13.933333333333334
Milano,2020-04-24,576.6666666666667,21.326249999999998,32.2175,62.96833333333333,22.1,13.983333333333333
Milano,2020-04-25,575.8333333333333,21.48708333333333,32.41166666666667,62.44833333333333,22.53333333333333,14.066666666666666
Milano,2020-04-26,575.0,22.685,33.37041666666667,62.135,22.483333333333334,14.149999999999999
Milano,2020-04-27,576.6666666666666,22.150416666666665,33.975,62.36083333333333,21.883333333333333,14.2
Milano,2020-04-28,575.0,22.419166666666666,34.87166666666667,62.1075,21.816666666666666,14.2
